Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 5,530d xDrive MPAKET*LED*CZ*DPH,949 000 Kč,2020,77757km,5/2026,neuvedeno,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle modrá metalíza,Bratří Štefanů 1002 Hradec Králové 50003
BMW X3,"2.0 d xDrive20d, 1.maj, M",949 000 Kč,2021,37390km,10/2025,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,"118d, M Paket",944 999 Kč,9/2024,9600km,neuvedeno,Perfektní,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,hatchback,5 dveří,5 míst,bílá,Dražkovice 239 53333
BMW Řada 3,320d xD ///MSPORT TAŽNÉ*ČR 1.M,948 000 Kč,3/2023,93563km,3/2027,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá metalíza,Družstevní 3894/28 Znojmo 66902
BMW X5,xDrive40i,950 000 Kč,2019,68928km,8/2026,Perfektní,250 kW / 340 PS,3 000 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,120d,952 000 Kč,2024,8000km,neuvedeno,Perfektní,120 kW / 163 PS,1 995 cm³,nafta,aut. převodovka,hatchback,5 dveří,5 míst,bílá,Tovární 1b Olomouc 77900
BMW Řada 2,225e xDrive Active Tourer,969 000 Kč,2/2023,24700km,4/2027,Předváděcí vozidlo,180 kW / 245 PS,1 499 cm³,hybridní - benzin,aut. převodovka,MPV,5 dveří,5 míst,modrá,Lipová 280 Praha - Čestlice 25101
BMW X1,"sDrive18i, Full LED, Navigace",960 000 Kč,2024,15422km,1/2028,Perfektní,100 kW / 136 PS,1 500 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,120,969 000 Kč,2024,10km,neuvedeno,Nové vozidlo,neuvedeno,neuvedeno,benzin,aut. převodovka,hatchback,5 dveří,5 míst,bílá,Obchodní 622 Liberec 11 46001
BMW Řada 5,520d xDrive,965 000 Kč,2021,69000km,neuvedeno,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá,Tovární 1b Olomouc 77900
BMW Řada 3,řady 3 | 318i,959 000 Kč,7/2024,12521km,neuvedeno,Velmi dobrý,115 kW / 156 PS,1 998 cm³,benzin,neuvedeno,sedan,5 dveří,5 míst,černá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW X1,sDrive18i,966 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Průběžná 76 Praha 10 10000
BMW X1,"sDrive18i, Full LED, Navigace",960 000 Kč,2024,15422km,1/2028,Perfektní,100 kW / 136 PS,1 500 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,sDrive18i,959 000 Kč,6/2024,9963km,neuvedeno,Velmi dobrý,100 kW / 136 PS,1 499 cm³,benzin,neuvedeno,SUV,5 dveří,5 míst,bílá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW iX1,eDrive20,970 000 Kč,11/2023,10200km,neuvedeno,Předváděcí vozidlo,150 kW / 204 PS,1 cm³,elektro,aut. převodovka,SUV,5 dveří,5 míst,bílá,Lipová 280 Praha - Čestlice 25101
BMW Řada 1,120,969 000 Kč,9/2024,3980km,neuvedeno,Nové vozidlo,125 kW / 170 PS,1 499 cm³,benzin,neuvedeno,hatchback,5 dveří,5 míst,bílá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW X2,xDrive 25e,969 000 Kč,2022,29000km,neuvedeno,Velmi dobrý,162 kW / 220 PS,1 499 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Obchodní 622 Liberec 11 46001
BMW Řada 1,118d,969 000 Kč,4/2024,11607km,neuvedeno,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,hatchback,3 dveře,5 míst,šedá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW Řada 5,530d*M Paket*,966 900 Kč,9/2021,115000km,9/2027,Perfektní,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,černá,Českomoravská 183/27 Praha 9 - Vysočany 19000
BMW X5,M50 xDrive TOP VÝBAVA! B&W,966 790 Kč,11/2019,290000km,neuvedeno,Perfektní,294 kW / 400 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,Novohradská 1479/70 Č.Budějovice 37008
BMW Řada 4,420d xDrive Gran Coupe,959 000 Kč,12/2022,66500km,neuvedeno,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kupé,5 dveří,neuvedeno,tmavě modrá metalíza,Jenisov 187 Karlovy Vary 36001
BMW X1,sDrive18i,954 690 Kč,1/2025,neuvedeno,1/2029,Nové vozidlo,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Tř.T.Bati 400 Zlín 76001
BMW X1,xDrive23i,960 000 Kč,2023,49000km,neuvedeno,Velmi dobrý,160 kW / 218 PS,1 998 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Tovární 1b Olomouc 77900
BMW Řada 3,M340d xDrive Touring Mpaket,959 000 Kč,6/2020,148480km,neuvedeno,Perfektní,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Lipová 280 Praha - Čestlice 25101
BMW Řada 3,320d xDrive Sedan,967 999 Kč,10/2020,47000km,neuvedeno,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,sedan,neuvedeno,neuvedeno,šedá metalíza,Dražkovice 239 53333
