Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 4,420d xDrive Gran Coupé,468 000 Kč,2018,154000km,neuvedeno,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kupé,5 dveří,5 míst,šedá metalíza,Průběžná 76 Praha 10 10000
BMW Řada 3,530D 190kw XDrive LUXURY LINE,465 000 Kč,2015,153000km,1/2027,Velmi dobrý,190 kW / 258 PS,2 993 cm³,nafta,aut. převodovka,sedan,5 dveří,5 míst,černá metalíza,Strážnice 69662
BMW Řada 3,"320i GT, ČR, 1.MAJ, SERV.KNIHA",470 000 Kč,2019,91817km,11/2025,Velmi dobrý,135 kW / 184 PS,2 000 cm³,benzin,aut. převodovka,liftback,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,"M Sport xDrive20d, ČR,AUTOMAT",470 000 Kč,2017,91417km,11/2026,Velmi dobrý,140 kW / 190 PS,2 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,"Sport Line xDrive20d, AUTOMAT",475 000 Kč,2017,130291km,4/2025,Dobrý,140 kW / 190 PS,2 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,sDrive18i,479 999 Kč,12/2019,49132km,neuvedeno,Velmi dobrý,100 kW / 136 PS,1 499 cm³,benzin,neuvedeno,SUV,5 dveří,5 míst,bílá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW i3,"i3s 94Ah BEV, SoH 89%",474 000 Kč,2018,48976km,4/2025,Perfektní,135 kW / 184 PS,neuvedeno,elektro,aut. převodovka,hatchback,3 dveře,4 místa,červená,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,530i xDrive / Luxury / 1M / CZ,479 000 Kč,7/2018,186950km,7/2026,neuvedeno,185 kW / 252 PS,1 998 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,modrá,Libeňský ostrov Praha 8 18000
BMW Řada 3,320d 140kW STEPTRONIC Záruka a,478 000 Kč,1/2020,171379km,7/2026,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,tmavě modrá metalíza,Vožická 2504 Tábor 39002
BMW Řada 5,"Sport Line 530d, DPH, KŮŽE",480 000 Kč,2018,238305km,11/2026,Dobrý,195 kW / 265 PS,3 000 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,520Xd M kombi TOP výbava+stav,479 160 Kč,7/2019,348000km,10/2026,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá metalíza,Koněvova 143 Praha 3 13000
BMW i3,"120Ah, EL, automatic",479 000 Kč,2021,74000km,9/2026,Perfektní,125 kW / 170 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,tmavě šedá metalíza,Nový Brázdim 27 Brázdim 25063
BMW Řada 4,420D x-Drive,475 000 Kč,2017,97000km,8/2026,Velmi dobrý,135 kW / 184 PS,1 995 cm³,nafta,manuální převodovka,kupé,3 dveře,4 místa,bílá,Jílovská 268 Sulice Praha-Východ 25168
BMW i3,"120Ah BEV, SoH 97%",475 000 Kč,2021,75515km,12/2026,Velmi dobrý,125 kW / 170 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Z4,sDRIVE 2.3i 150 KW MANUÁL,474 000 Kč,2011,132700km,3/2026,Perfektní,150 kW / 204 PS,2 497 cm³,benzin,manuální převodovka,kabriolet,2 dveře,2 místa,černá metalíza,Jakubov u Mor. Budějovic 48 Jakubov u Mor. Budějovic 67544
BMW X5,"2,0 xDrive25d HUD LED",479 000 Kč,1/2016,180305km,9/2025,neuvedeno,170 kW / 231 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,"Šterboholská 1476/85 Hostivař, Šterboholská 1476/85 10200"
BMW Řada 3,320i xDrive sedan,479 000 Kč,2/2018,64000km,neuvedeno,Velmi dobrý,135 kW / 184 PS,1 998 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,hnědá,Lipová 280 Praha - Čestlice 25101
BMW Řada 3,318D/2.0D A/T,477 000 Kč,2020,147000km,9/2026,Perfektní,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,stříbrná,Kostelecká 1410 Praha 9 - Čakovice 19600
BMW X3,xDrive20d,479 000 Kč,2014,79000km,neuvedeno,Způsobilý k provozu,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,Tovární 1b Olomouc 77900
BMW i3,"120 Ah, ZÁRUKA 8 LET,DPH",479 000 Kč,8/2021,30431km,1/2027,Perfektní,125 kW / 170 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,bílá metalíza,K Hrušovu 1a Praha 10 - Štěrboholy 10200
BMW X3,"2,0D xDrive M Sport, nové ČR,",479 901 Kč,3/2016,150313km,4/2026,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,neuvedeno,SUV,5 dveří,5 míst,černá metalíza,České mládeže 1271/30a Liberec 46006
BMW X5,3.0 xDrive30d,479 000 Kč,2/2015,218235km,1/2027,neuvedeno,190 kW / 258 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,"Karlov 2172, u EXITU 146 VELKÉ MEZIŘÍČÍ 59401"
BMW X5,xDrive40d Mpaket,477 000 Kč,10/2013,100990km,10/2025,Perfektní,225 kW / 306 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Tř.T.Bati 400 Zlín 76001
BMW X1,"2,0 d sDRIVE AUT. SERVIS KLIMA",479 000 Kč,2/2016,78000km,2/2027,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle šedá,Olbramkostel 177 okr.Znojmo 67151
BMW X5,"xDrive30d, 4x4, automat",480 000 Kč,2014,281330km,11/2026,Dobrý,190 kW / 258 PS,3 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,"118i, ČR, FLED, A/T, SERVIS",490 000 Kč,2020,52221km,8/2026,Perfektní,103 kW / 140 PS,1 500 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,530d/Sport-Line/Full-Led/DPH/,489 000 Kč,2019,210978km,10/2025,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Dřevčická 8- Autobazar VIP CAR s Praha 10 10800
BMW Řada 4,420i M PAKET NAVIGACE,495 000 Kč,7/2018,148601km,12/2026,Velmi dobrý,135 kW / 184 PS,1 998 cm³,benzin,aut. převodovka,kupé,2 dveře,4 místa,modrá metalíza,Kostelecká 4606 Prostějov 79601
BMW Řada 2,"216i GRAN TOURER M-SPORT, NAVI",489 900 Kč,9/2020,51330km,2/2027,Perfektní,80 kW / 109 PS,1 499 cm³,benzin,manuální převodovka,MPV,5 dveří,7 míst,světle šedá metalíza,Kamýcká 40/7 Praha 6 16000
BMW X1,sDrive 18d Advantage,490 000 Kč,8/2017,73469km,neuvedeno,Perfektní,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,šedá,Lipová 280 Praha - Čestlice 25101
BMW Řada 2,"218i Gran Tourer, 1. maj, ČR",480 000 Kč,2021,65060km,5/2025,Perfektní,100 kW / 136 PS,1 500 cm³,benzin,aut. převodovka,MPV,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X5,xDrive30d Individual Night LED,489 000 Kč,11/2014,203000km,neuvedeno,Perfektní,190 kW / 258 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Pražská třída 24/138 Hradec Králové 50004
BMW Řada 5,530d xDrive 195 kW LUXURY LINE,490 000 Kč,5/2017,192405km,7/2026,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,šedá,Masarykova 412 DOMAŽLICE 34401
BMW Řada 4,420d Cabrio,488 000 Kč,2015,111200km,neuvedeno,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kabriolet,3 dveře,5 míst,šedá metalíza,Průběžná 76 Praha 10 10000
BMW X1,sDrive18i,490 000 Kč,2019,85921km,6/2025,Velmi dobrý,103 kW / 140 PS,1 500 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,118i Aut.,489 999 Kč,7/2020,77284km,neuvedeno,Velmi dobrý,103 kW / 140 PS,1 499 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,černá metalíza,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW Řada 6,650i M GC x-Drive 132tkm!,489 000 Kč,3/2013,132000km,neuvedeno,Perfektní,330 kW / 449 PS,4 395 cm³,benzin,aut. převodovka,kupé,4 dveře,4 místa,černá,Kolískova 473/15 Brno 60200
BMW X5,"2,0 xDrive25d Steptronic 7míst",489 999 Kč,5/2015,238900km,2/2027,Perfektní,160 kW / 218 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,7 míst,stříbrná metalíza,"Pražská 286, Borek České Budějovice 37367"
BMW Řada 1,"118i, NOVÉ V ČR,AUTOMAT,KLIMA",490 000 Kč,2019,103547km,11/2025,Velmi dobrý,103 kW / 140 PS,1 500 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X2,"sDrive20i, Full led,Automat",490 000 Kč,2019,88537km,4/2026,Velmi dobrý,141 kW / 192 PS,2 000 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,Xdrive20d MPaket*HUD*2xKOLA*CZ,489 000 Kč,2016,105000km,neuvedeno,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Výpadová 1676/4a Praha - Radotín 15900
BMW X3,xLine xDrive20d,480 000 Kč,2016,105649km,9/2026,Velmi dobrý,140 kW / 190 PS,2 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,hnědá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,2.5d XDrive 170kw,490 000 Kč,12/2016,78000km,2/2025,Perfektní,170 kW / 231 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,hnědá,
BMW Řada 7,740i F01 240kW M-PAKET,485 000 Kč,12/2012,139111km,4/2026,Perfektní,240 kW / 326 PS,2 993 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,černá metalíza,Lovosická 778/2 PRAHA 9 - PROSEK 19000
BMW Řada 4,420d xDrive Gran Coupé,499 000 Kč,6/2016,114836km,neuvedeno,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kupé,5 dveří,5 míst,černá metalíza,Okruzni 49 Ceske Budejovice 37001
BMW Z4,sDrive 2.5i 6V 150KW cabrio,498 000 Kč,4/2010,166900km,7/2026,Perfektní,150 kW / 204 PS,2 497 cm³,benzin,manuální převodovka,kabriolet,2 dveře,2 místa,tmavě šedá metalíza,Okružní 27 České Budějovice 37001
BMW Řada 1,118iA (F40)* model Advantage,498 000 Kč,3/2019,36400km,9/2025,Perfektní,103 kW / 140 PS,1 499 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,bílá,"Vídeňská 19 Vestec, Praha-západ 25250"
BMW Řada 4,"3,0 440i xDrive",499 000 Kč,10/2018,202693km,4/2026,Perfektní,240 kW / 326 PS,2 998 cm³,benzin,aut. převodovka,kupé,5 dveří,5 míst,modrá,K Hrušovu 1a Praha 10 - Štěrboholy 10200
BMW Řada 2,"1,5 216T Gran Tourer Advantage",498 000 Kč,2/2020,4983km,11/2026,Perfektní,80 kW / 109 PS,1 499 cm³,benzin,manuální převodovka,MPV,5 dveří,5 míst,světle šedá metalíza,Holice 1045 Olomouc - Holice 77900
BMW Řada 1,118iA (F40),498 000 Kč,9/2019,36400km,9/2025,Perfektní,103 kW / 140 PS,1 499 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,červená metalíza,"Vídeňská 19 Vestec, Praha-západ 25250"
BMW X1,xDrive20d M-Paket Tažné LED CZ,499 000 Kč,8/2018,156115km,8/2026,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,"U Pekáren 1645/1, Praha Hostivař Praha 10 - Hostivař 10200"
BMW Řada 6,"2,8 628 CSi AT",499 000 Kč,5/1984,189000km,neuvedeno,Perfektní,135 kW / 184 PS,2 800 cm³,benzin,aut. převodovka,kupé,5 dveří,5 míst,zlatá metalíza,Černokostelecká 697/59 Říčany u Prahy 25101
BMW Řada 3,320d xDrive Gran Turismo,499 000 Kč,5/2019,183852km,neuvedeno,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,sedan,5 dveří,5 míst,černá metalíza,Okruzni 49 Ceske Budejovice 37001
BMW Řada 5,"530 XD,M-Paket ČR DPH",499 000 Kč,11/2016,140840km,2/2027,Velmi dobrý,190 kW / 258 PS,2 993 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,černá metalíza,Frýdlantská 2438 Frýdek-Místek 73801
BMW Řada 1,116d-Luxury Line Automat,499 000 Kč,2020,78155km,11/2026,Velmi dobrý,99 kW / 135 PS,1 496 cm³,nafta,neuvedeno,hatchback,5 dveří,5 míst,černá,Velké Přítočno 317 Velké Přítočno 27351
BMW X3,"xDrive20d, ČR, TOP STAV",498 800 Kč,2015,132319km,7/2025,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá,Plazy Mladá Boleslav 29301
BMW Řada 5,"530XD,SPORTLINE,ČR,DPH,HUD,ACC",499 000 Kč,10/2018,195143km,10/2026,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Mostní 749 Kralupy nad Vltavou 27801
BMW Řada 6,"650i xDrive, GC,CZ,TOP VÝBAVA",499 000 Kč,10/2014,133233km,9/2026,Perfektní,330 kW / 449 PS,4 395 cm³,benzin,aut. převodovka,kupé,4 dveře,5 míst,šedá metalíza,Lidická 265/70 Plzeň 32300
BMW Řada 4,gran coupe led dph,499 000 Kč,2019,128000km,1/2023,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,kupé,5 dveří,5 míst,černá metalíza,Rudolická 1214 Most 43401
BMW M3,"3,2i KABRIO MANUÁL HARDTOP",499 000 Kč,1999,183000km,neuvedeno,Perfektní,254 kW / 345 PS,3 201 cm³,benzin,manuální převodovka,kabriolet,2 dveře,4 místa,modrá metalíza,Jakubov u Mor. Budějovic 48 Jakubov u Mor. Budějovic 67544
BMW Řada 3,320d 140 kW Steptronic Záruka,498 000 Kč,4/2020,157490km,7/2026,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,tmavě šedá metalíza,Vožická 2504 Tábor 39002
BMW Řada 7,750i xDrive Individual,499 000 Kč,2010,85436km,9/2025,Velmi dobrý,300 kW / 408 PS,4 395 cm³,benzin,aut. převodovka,limuzína,4 dveře,5 míst,žlutá,Lidická 265/70 Plzeň 32300
BMW X3,XDRIVE 30 d M SPORT paket 1. m,499 000 Kč,2017,256000km,11/2025,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,šedá metalíza,Poříčí 805/1c Brno 60300
BMW Řada 3,N/A,499 000 Kč,5/2021,174766km,neuvedeno,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,neuvedeno,Krmelínská 736/7 Ostrava - Hrabová 72000
BMW i3,"120Ah BEV, SoH 96%",500 000 Kč,2021,37831km,11/2026,Perfektní,125 kW / 170 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 7,740d xDrive 230kW HEAD UP ČR,499 999 Kč,5/2014,172986km,6/2026,Velmi dobrý,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,světle šedá metalíza,Kunraticka Spojka 1169/1 Praha 4 14800
BMW Řada 6,650i xDrive Gran Coupé/Mpaket,499 990 Kč,10/2012,105000km,11/2025,neuvedeno,330 kW / 449 PS,4 395 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,modrá metalíza,Křižíkova 2411 Benešov 25601
BMW Řada 5,"535i GT, 225KW, INDIVIDUAL,DPH",499 999 Kč,2015,132253km,10/2025,Perfektní,255 kW / 347 PS,2 998 cm³,benzin,aut. převodovka,sedan,5 dveří,5 míst,hnědá metalíza,Nerudova 241 Kyjov 69701
BMW X1,X1 xDrive20d M-PAKET LED NAVI,499 900 Kč,2016,124200km,2/2027,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,tmavě šedá metalíza,Doubravická 363 Pardubice 53353
BMW Řada 6,630Ci CABRIO 102TIS KM ALU21,499 999 Kč,2007,102000km,4/2025,Perfektní,190 kW / 258 PS,2 996 cm³,benzin,aut. převodovka,kabriolet,3 dveře,4 místa,černá metalíza,Lovosická 778/2 PRAHA 9 - PROSEK 19000
BMW Z4,35i 225 KW CABRIO,499 999 Kč,5/2009,122800km,3/2026,Perfektní,225 kW / 306 PS,2 979 cm³,benzin,aut. převodovka,kabriolet,3 dveře,2 místa,tmavě modrá,Čestice 154 Čestice 51741
BMW X5,"25d xDrive, NAVIGACE, PDC, TEM",499 900 Kč,5/2014,118100km,11/2026,Perfektní,160 kW / 218 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,hnědá metalíza,Kamýcká 40/7 Praha 6 16000
BMW Z4,3.0 /225kW sDrive 35i,499 900 Kč,5/2009,143276km,8/2026,neuvedeno,225 kW / 306 PS,2 979 cm³,benzin,aut. převodovka,kupé,2 dveře,2 místa,modrá,Pikovická 1818/15a Praha 4 - Braník 14700
BMW X5,3.0 /280kW,499 999 Kč,10/2013,155000km,neuvedeno,Velmi dobrý,280 kW / 381 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,U vody 1403/1 Praha 7 17000
BMW Řada 5,"2,0 525 XD ČR servis",499 990 Kč,8/2016,94460km,8/2024,Perfektní,160 kW / 218 PS,1 995 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,stříbrná metalíza,Kostelecká 915 Praha 9 Čakovice 19600
BMW Řada 3,"328i xDrive GT SPORT LINE, NAV",499 900 Kč,10/2015,61430km,6/2025,Perfektní,180 kW / 245 PS,1 997 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,černá metalíza,Kamýcká 40/7 Praha 6 16000
BMW X1,"xDrive18d, ČR 2MAJ,4X4,AUT.",500 000 Kč,2018,38873km,11/2026,Perfektní,110 kW / 150 PS,2 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X5,xDrive40d 230 KW ČR PO SERVISU,499 990 Kč,2016,190000km,4/2026,Velmi dobrý,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Stará pošta 750 Rajhrad 66461
BMW X1,2.0d s Drive M-Paket,499 900 Kč,2016,109150km,8/2026,Dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá,Lidická 60/5 Hluboká nad Vltavou 37341
BMW Z4,"sDrive30i, KEYLESS, HIFI, NAVI",499 901 Kč,5/2009,156500km,4/2025,Perfektní,190 kW / 258 PS,2 996 cm³,benzin,aut. převodovka,kabriolet,2 dveře,2 místa,černá metalíza,Kamýcká 40/7 Praha 6 16000
BMW i3,S*94aH*ACC*KAM*LED*20´´SOH 97%,499 990 Kč,1/2019,45520km,11/2026,Perfektní,75 kW / 102 PS,neuvedeno,elektro,neuvedeno,sedan,5 dveří,4 místa,bílá,Spytihněv 98 SPYTIHNĚV 76364
BMW Řada 2,"1,5 216d GRAN TOURER AUTOMAT",499 000 Kč,2/2019,79100km,neuvedeno,Perfektní,85 kW / 116 PS,1 496 cm³,nafta,aut. převodovka,MPV,5 dveří,5 míst,černá metalíza,Olomoucká 1203/164c Brno 62700
BMW X1,xDrive18d Advantage,499 999 Kč,5/2019,70148km,neuvedeno,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,modrá metalíza,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW Řada 3,"320i xDrive AT GT LUXURY LINE,",499 901 Kč,12/2019,145080km,10/2026,Perfektní,135 kW / 184 PS,1 998 cm³,benzin,aut. převodovka,liftback,5 dveří,5 míst,modrá metalíza,Kamýcká 40/7 Praha 6 16000
BMW X1,2.0 /140kW,506 990 Kč,12/2016,106000km,12/2026,Dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,šedá,
BMW X5,"xDrive30d, Nové v ČR",520 000 Kč,2015,146760km,2/2027,Dobrý,190 kW / 258 PS,3 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,sDrive18d,519 000 Kč,2018,81000km,neuvedeno,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Obchodní 622 Liberec 11 46001
BMW i3,"120Ah BEV, SoH 96%",500 000 Kč,2021,37831km,11/2026,Perfektní,125 kW / 170 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 6,"640d xDrive, ČR,4X4,NAVI",515 000 Kč,2016,207100km,5/2026,Dobrý,230 kW / 313 PS,3 000 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"530d xDrive, 530D XDRIVE",520 000 Kč,2017,219900km,4/2026,Dobrý,195 kW / 265 PS,3 000 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X1,sDrive 18d xLine,509 999 Kč,11/2019,69652km,neuvedeno,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,hnědá metalíza,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW Řada 1,"Sport Line 118i, AUTOMAT",520 000 Kč,2020,64503km,1/2026,Perfektní,103 kW / 140 PS,1 500 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"520d xDrive, HeadUp, Key",519 000 Kč,2018,241000km,9/2025,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,šedá,Kateřinská 739 Stráž nad Nisou 46303
BMW Řada 6,"BR 640d Cabrio, Head-Up, Soft-",520 000 Kč,1/2012,190600km,neuvedeno,neuvedeno,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kabriolet,2 dveře,4 místa,hnědá metalíza,"Einsteinova 21/A Bratislava, Slovensko 85101"
BMW Řada 3,GT 320d xDrive M SPORT,519 999 Kč,11/2019,89534km,neuvedeno,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,černá metalíza,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW Řada 6,640i-CABRIO-R20-HEZKÝ STAV,515 000 Kč,3/2011,202000km,neuvedeno,Perfektní,235 kW / 320 PS,2 979 cm³,benzin,aut. převodovka,kabriolet,2 dveře,4 místa,světle šedá metalíza,Mořina 194 Mořina u PRAHY 26717
BMW Řada 3,320d 140kW AT8 Advantage Záruk,508 000 Kč,2/2020,151446km,11/2026,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Vožická 2504 Tábor 39002
BMW X1,sDrive18i Advantage,519 999 Kč,1/2020,43820km,neuvedeno,Velmi dobrý,103 kW / 140 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW i3,REX BASE RANGE,510 000 Kč,2017,40550km,2/2023,Perfektní,125 kW / 170 PS,650 cm³,elektro,neuvedeno,kombi,5 dveří,4 místa,bílá,Jihlavská - Pražská Brno - Bosonohy 62500
BMW X1,sDrive18d,500 000 Kč,2019,97530km,neuvedeno,Perfektní,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá,Průběžná 76 Praha 10 10000
BMW Řada 1,118i,500 000 Kč,2020,61000km,neuvedeno,Velmi dobrý,103 kW / 140 PS,1 499 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,černá,Průběžná 76 Praha 10 10000
BMW Řada 5,Luxury Line 520d xDrive,500 000 Kč,2017,177032km,1/2027,Dobrý,140 kW / 190 PS,2 000 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"520d xDrive, Automat, Servis",510 000 Kč,2019,143157km,8/2026,Dobrý,140 kW / 190 PS,2 000 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X5,"xDrive30d, ČR PŮVOD,4X4,190KW",520 000 Kč,2014,151390km,1/2026,Dobrý,190 kW / 258 PS,3 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X2,sDrive18i M Sport,529 999 Kč,12/2020,117189km,neuvedeno,Velmi dobrý,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Kostelecká 933/77a Praha 9 Čakovice 19600
BMW i3,I3s 120Ah 92% / NAVIGACE PROF.,525 000 Kč,10/2019,43000km,neuvedeno,Perfektní,135 kW / 184 PS,neuvedeno,elektro,aut. převodovka,hatchback,5 dveří,4 místa,bílá,Novohradská 1479/70 Č.Budějovice 37008
BMW Řada 2,GC 218d LUXURY*Head-Up*ČR 1.M*,525 000 Kč,12/2020,83968km,7/2026,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,tmavě šedá metalíza,Družstevní 3894/28 Znojmo 66902
